New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
,,,1,X,Hitachi,HD63A03RP,,,,,MCU,630x,,,,63A03,,,,,,,,,,1,,,8,,,1.5MHz,1.5MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,64k,,128B,,,PDIP-40,"52mm x 16mm",DIP,,,CMOS,,3-6V,,,,,,,,0.083W,,,,,,,,,,,,ic-photo-Hitachi--HD63A03RP--(6303-MCU).JPG,,,,,,,datasheet-Hitachi-HD6303R-HD63A03R-HD63B03R.pdf,,,,,,
,,,1,X,Hitachi,HD6433947F,,,,,MCU,H8,,,,H8/300L,,H8/300L,,,,H8,,Hitachi,No,1,,,8,,,5MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,60K,,2K,,,PQFP-100,,NA,,,CMOS,,5V,,,,,,,,,,,,,,,"Embedded systems","timer, PWM, serial (SCI, I2C), ADC",,,H8/3947,ic-photo-Hitachi--HD6433947F--(H8-3947-MCU).jpg,,,,,,,datasheet-Hitachi--H8_3947--H8_3945--H8_3946--H8_300L.pdf,,,,,,
,,ND,1,X,Hitachi,HD6473238F10,,,,,MCU,H8,,,,H8/323,,,,,,,,Hitachi,No,1,,,8,,,10MHz,,,,NA,NA,,NA,NA,NA,NA,,,16k,OTP,512B,,,PQFP-64,"17mm x 17mm",NA,,,,,5V,,,,,,,,,,,,,,,,"Timer, SCI",,,,ic-photo-Hitachi--HD6473238F10--(H8-323-MCU).JPG,,,,,,,,,,,,,
,,"IG, A2",2,1,Hitachi,HD6417091,,,,,CPU,SuperH,,,,SH-4,,SH4,,,RISC,SuperH,,Hitachi,No,1,,,64,64,,200MHz,100MHz,,,integrated,,,16k/8k,,,,none,none,NA,NA,NA,,,BGA-256,,NA,10M,0.25u,CMOS-4L,42.25mm^2,,,,,,,,,1.5W,,,,1998,1998,,"Video game systems",,,,"Sega Dreamcast",ic-photo-Hitachi--HD6417091--(SH-4_CPU).png,,,,,,,,,,,,,
,,,2,1,Hitachi,HD6417091R,,,,,CPU,SuperH,,,,SH-4,,SH4,,,RISC,SuperH,,Hitachi,No,1,,,64,64,,200MHz,100MHz,,,integrated,,,16k/8k,,,,none,none,NA,NA,NA,,,BGA-256,,NA,10M,0.25u,CMOS-4L,42.25mm^2,,,,,,,,,1.5W,,,,1998,1998,,"Video game systems",,,,"Sega Dreamcast",ic-photo-Hitachi--HD6417091--(SH-4_CPU).png,,,,,,,,,,,,,
,,,1,x,Hitachi,"HD6417709ABT133 ","SH7709A 133B",,,,CPU,SuperH,SH-3,,,SH-3,,,,,,,,Hitachi,No,1,,,32,8/16/32,26,133MHz,,,,,,,16k,,,,,,NA,NA,NA,4G,,TFBGA-216,,NA,,0.25u,"CMOS 3L",,1.9V,,,3.3V,,,,,665mW,,,,,,,"Embedded systems","WDT, RTC, SCI, DMA, GPIO, ADC, DAC, CLK, INTC, JTAG, IrDA, POR",,,,,,,,,,,datasheet-Hitachi-SuperH-3-SH7709A-Hardware_manual.pdf,,,,,,
,,,1,x,Hitachi,HD6417709F80,"SH7709A 133B",,,,CPU,SuperH,SH-3,,,SH-3,,,,,,,,Hitachi,No,1,,,32,8/16/32,,80MHz,,,,,,,8k,,,,,,NA,NA,NA,4G,,LQFP-208,,NA,,,,,,,,3.3V,,,,,,,,,,,,"Embedded systems","WDT, RTC, SCI, DMA, GPIO, ADC, DAC, CLK, INTC, JTAG, IrDA, POR",,,,,,,,,,,,,,,,,
,,,1,x,Holtek,HT48R065B,,,,,MCU,RISC,,,,,,,,,RISC,,,Holtek,no,1,,,8,,,12Mhz,,,,none,none,none,none,none,none,none,none,none,"2k x 15",OTP,96,,,NSOP-16,,NA,,,,,,5V,,,,,,,,,,,,,,Embedded,"Timer, LCD",,,,,,,,,,,HOLTEK-HT48R063B-64-65-66.PDF,,,,,,
,,,1,1,HP,A5061-3020,,,,,Support,"5061-30xx Series",5061-3010,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW,,,1,x,HP,"1820-1692 VBG-5.0V",,,,,CPU,nano-processor,,,,,,,,,,,,,no,1,,,8,8,11,,,,,none,none,none,none,none,none,none,v,none,,,,,,CDIP-40,,DIP,,,NMOS,,12V,11-12.5V,,5,"-5(backgate bias)",,,,,,,,,,,,,,,,,,,,,HP_Nanoprocessor_die.jpeg,"CC-AT-3.0, Pauli Rautakorpi",datasheet-HP-nanoprocessor.pdf,,,,,,
,,KX,1,X,HP,"PA-7200 (120MHz)","5960-1344 REV B",1FQ4-0008,,,CPU,PA-RISC,"PA-RISC 7200",,,"PCX-T' / Thunderbird'",,"PA 1.1d",,,RISC,PA-RISC,,,No,1,,,32,64,32,120MHz,,,,integrated,none,,2k,,,,"1M ext",,NA,NA,NA,,,CPGA-539,,,1.26M,0.55u,"CMOS14A ",210mm^2,4.4V,,,,,,,,,,,,1994,1994,,"Servers, workstations",,,,"Hpfc 1FQ4-0008, 5960-1344 REV. B",ic-photo-HP--PA-7200--(PA-RISC_7200_PCX-T_CPU).JPG,,,,,,,,,,,,,
,,,1,x,HP,"PA-8000 (160MHz)",1FQ3-0004,,,,CPU,PA-RISC,,,,,,"PA 2.0",,,RISC,PA-RISC,,,no,1,,,64,64,,160MHz,120MHz,,,integrated,none,,"ext 1M/1M",,"ext 1M","ext 1M",,,NA,NA,NA,,,FC-LGA-1085,,,4.5M,0.5u,"CMOS 5L",17.7x19.6mm^2,3.3V,,,,,,,,,,,,1996?,1996?,,"Servers, workstations",,,,,,,,,,,,,,,,,,
,,,4,3,HP,"PA-8000 (180MHz)",1ST9-0004,,,,CPU,PA-RISC,,,,,,"PA 2.0",,,RISC,PA-RISC,,,no,1,,,64,64,,180MHz,120MHz,,,integrated,none,,"ext 1M/1M",,"ext 1M","ext 1M",,,NA,NA,NA,,,,,,,,,,3.3V,,,,,,,,,,,,1996,1996,,"Servers, workstations",,,,,,,,,,,,,,,,,,
3.20GHZ/4M/800,,,1,x,HP,"PA-8200 (240Mhz)",1QK9-0009,,,,CPU,PA-RISC,,,,,,"PA 2.0",,,RISC,PA-RISC,,,no,1,,,64,64,,240MHz,120MHz,,,integrated,none,,"ext 2M/2M",,"ext 2M","ext 2M",,,NA,NA,NA,,,,,,,0.5u,"CMOS 5L",,3.3V,,,,,,,,,,,,,,,"Servers, workstations",,,,,,,,,,,,,,,,,,
,,,2,1,HP,"PA-8500 (440MHz)",1QM1-0012,,,,CPU,PA-RISC,,,,,,"PA 2.0",,,RISC,PA-RISC,,,no,1,,,64,64,40,440MHz,125MHz,,,integrated,none,,0.5M/1M,,1M,0.5M,,,NA,NA,NA,1T,DDR,LGA-544,,,140M,0.25u,"CMOS 5L",21.3x22.0mm^2,3.3V,,,,,,,,,,,,1998,1998,,"Servers, workstations",,,,,,,,,,,,,,,,,,
,,,1,x,HP,"PA-8600 (500Mhz)",3AA1-1105,,,,CPU,PA-RISC,,,,,,"PA 2.0",,,RISC,PA-RISC,,,no,1,,,64,,,500Mhz,,,,integrated,none,,0.5M/1M,,1M,0.5M,,,NA,NA,NA,1T,DDR,LGA-544,,,140M,0.25u,"CMOS 5L",21.3x22.0mm^2,3.3V,,,,,,,,,,,,2000,2000,,"Servers, workstations",,,,,,,,,,,,,,,,,,
NEW,,,1,x,HP,"PA-8600 (PCX-W+) 550Mhz",3AA1-1106,,,,CPU,PA-RISC,,,,,,"PA-RISC 2.0 ",MAX-2,instruction_set-PA-RISC-2.0.pdf,PA-RISC,PA-RISC,,,no,,,,64,64,40,550Mhz,125Mhz,Runway+,,integrated,none,none,,,1M,0.5M,,,NA,NA,NA,1T,DDR,CLGA-544,,,140M,0.25u,CMOS-5L,"21.3×22.0 mm2",,,2.0V,,,,,,,,,,2000,2000,,Server/Workstation,,,,,,,,,,,,,https://en.wikipedia.org/wiki/PA-8000,https://www.openpa.net/pa-risc_processor_pa-8600.html,,,,
,,,1,x,HP,"PA-8700 (875MHz)",3AA2-3106,,,,CPU,PA-RISC,,,,,,"PA 2.0",,,RISC,PA-RISC,,,no,1,,,64,,44,875MHz,125MHz,,,integrated,none,,0.75M/1.5M,,1.5M,0.75M,,,NA,NA,NA,16T,DDR,LGA-544,,,186M,0.18u,"SOI CMOS 7L",16.0x19.0mm^2,,,,,,,,,,,,,2001,2001,,"Servers, workstations",,,,,,,,,,,,,,,,,,
,,,1,x,HP,"PA-8700+ (875MHz)",3AA2-2205,,,,CPU,PA-RISC,,,,,,"PA 2.0",,,RISC,PA-RISC,,,no,1,,,64,,,875MHz,,,,integrated,none,,,,,,,,NA,NA,NA,,,,,,,,,,1.5V,,,,,,,,,,,,,,,"Servers, workstations",,,,,,,,,,,,,,,,,,
NEW,,,1,x,HP,"PA-8700 (PCX-W2) 750Mhz",3AA2-2306,,,,CPU,PA-RISC,,,,,,"PA-RISC 2.0 ",MAX-2,instruction_set-PA-RISC-2.0.pdf,PA-RISC,PA-RISC,,,no,,,,64,64,44,750Mhz,125Mhz,Runway+,,integrated,none,none,,,1.5M,0.75M,,,NA,NA,NA,16T,DDR,CLGA-544,,,186M,0.18u,"SOI CMOS-7L Cu","16.0×19.0 mm2",,,,,,,,,,,,,2001,2001,,Server/Workstation,,,,,,,,,,,,wp-HP-PA-RISC-PA-8700.pdf,https://en.wikipedia.org/wiki/PA-8000,https://www.openpa.net/pa-risc_processor_pa-8700.html,,,,
,,J4,1,X,IBM,80486SLC2-50,50G6950,,,,CPU,386,"486SLC2 (386 based)",,,"486SLC2 (386 based)",,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,IBM,"386 based",1,,,32,16,24,50MHz,25MHz,,,"ext (387SX)",none,,16k,,,,ext,none,NA,NA,NA,16MB,DRAM,C-BQFP-100,,NA,1.349M,,CMOS,69mm^2,3.3V,,,,,,,,2.3W,,,,1994,1994,,"Desktop computers",,,8,.,ic-photo-IBM--50G6950--1M16L45P5--(386-CPU).png,,,,,,,,,,,,,
,,BV,1,X,IBM,6x86L-2VAP166GB,,,,,CPU,6x86,,,,6x86L,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Cyrix,,1,,,32,64,32,166MHz,66MHz,,,integrated,none,,256b/16k,,,,ext,none,NA,NA,NA,4G,,CPGA-296,,"Socket 7",3M,0.35u,CMOS,169mm^2,2.8V,,,3.3V,,,,,,,,,1997,1997,,"Desktop computers",MMU,,,.,ic-photo-IBM--IBM26_6x86L-2VAP166GB--(6x86-CPU).png,,,,,,,,,,,,,
,,,1,x,IBM,09K4329,,,,,CPU,POWER,POWER3-II,,,,,,,,,,,IBM,No,1,,,64,64,64,375MHz,125MHz,,,"2x Internal",none,,64k+32k,,,,"Ext 16M",,NA,NA,NA,64G,,CLGA-1678,,,23M,0.22u,"Hybrid CMOS 75",163mm^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW,,,1,x,IBM,"46P3675 (Diamond)","?AE44E07ES H2124UG 27 2-5(cpu), M7E47E106? JCX6FSB? 4 02/08(cache), 05BP20623(packages side)",,,,CPU,POWER5,,,,POWER5,,"PowerPC 2.02",,,,POWER,,IBM,no,2,,,64,,,1.9Ghz,,,,,,,,,32k,64k,1.875M,36M,none,NA,none,64G,"DDR. DDR2",CCGA-2577,,NA,276M,0.13u,"SOI CMOS",389mm^2,,,,,,,,,,,,,2004,2004,,Server/Workstation,,,,,,,,,,,,,http://www.cpushack.com/2014/02/18/cpu-of-the-day-ibm-power5-qcm/,"https://commons.wikimedia.org/wiki/File:Power5_CPU_2-way_damaged.jpg ",https://www.cpu-world.com/forum/viewtopic.php?t=34939,https://en.wikipedia.org/wiki/POWER5,https://www.cs.utexas.edu/~cart/arch/fall03/KallaSlides.pdf,
NEW,,,1,x,IBM,53Y0475,,,,,CPU,POWER7,,,,,,"Power ISA v.2.06",,PowerISA_V2.06B_V2_PUBLIC.pdf,,POWER,,,,8,,,64,,,3Ghz,,,,integrated,,,,,"32k x 8","32k x 8","256k x 8","4M x 8",NA,NA,NA,,DDR3,,,,1.2B,45n,"SOI CMOS-7L Cu","567 mm2",,,,,,,,,,,,,,,,Server/Workstation,,,,,,,,,,,,,https://www.7-cpu.com/cpu/Power7.html,,,,,
,,CQ,1,X,IBM,"PPC601 FD66-1PQ",,,,,CPU,PowerPC,PowerPC601,,,"PowerPC 601",,,,,RISC,Power,,,No,1,,,32,64,32,?66MHz,,,,,none,,,,,,ext,none,NA,NA,NA,,,CQFP-304,"37mm x 47mm",,2.8M,0.5u,CMOS,,3.6V,,,,,,,,,,,,1994,1994,,"Desktop computers",,,,.,ic-photo-IBM--PPC601_FD66-1PQ--(PowerPC-CPU).png,,,,,,,datasheet-IBM-PowerPC-601-User-Manual.pdf,,,,,,
yes,,`````,1,x,IBM,PPC601FDA-066-2,,"PPC601 FDA66-2",,,CPU,PowerPC,PowerPC601,,,"PowerPC 601",,,,,,Power,,,,1,,,32,64,32,66MHz,,,,integrated,none,,,,,,,none,NA,NA,NA,,,CQFP-304,,NA,,,CMOS,,,,,,,,,,,,,,,,,"Desktop computers",,,,,,,,,,,,,,,,,,
,,BA,1,X,IBM,PPC603e2BB225r+,,,,,CPU,PowerPC,PowerPC603e,,,"PowerPC 603e",,,,,RISC,Power,,,No,1,,,32,64,32,240MHz,,,,integrated,none,,16k/16k,,16k,16k,,none,NA,NA,NA,4G,,CBGA-255,,,2.6M,0.35u,CMOS,98mm^2,2.5V,,,,,,,,,,,,1996,1996,,"Desktop computers",,,2,.,ic-photo-IBM--PPC603e2BB225r+--(PowerPC-CPU).png,,,,,,,,,,,,,
,,LJ,1,X,IBM,PPC604e2BE225dE,,,,,CPU,PowerPC,PowerPC604e,,,"PowerPC 604e",,,,,RISC,Power,,,No,1,,,32,,,225MHz,,,,integrated,none,,,,,,,none,NA,NA,NA,,,,,,5.1M,0.35u,CMOS,148mm^2,2.5V,,,,,,,,,,,,1996,1996,,"Desktop computers",,,2,"IBM ID=IBMR28C00MDPQ, ON A POWER COMPUTING CORP 500-0119-04 BOARD",ic-photo-IBM--PPC604e2BE225dE--(PowerPC-CPU).png,,,,,,,datasheet-IBM-PPC604e2.pdf,,,,,,
yes,,,1,x,IBM,PPC750-DB0B233,"IBM R32004PAPQ",IBM25PPC750-4DM5A2330,,,CPU,PowerPC,PowerPC750,,,PPC750,,,,,RISC,Power,,"Motorola and IBM",No,1,,,32,64,32,233MHz,,60x,,integrated,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LK,1,X,IBM,PPCA601FF-066-1,,,,,CPU,PowerPC,PowerPC601,,,"PowerPC 601",,,,,RISC,Power,,,No,1,,,32,,,66MHz,,,,,none,,32k,,,,ext,none,NA,NA,NA,,,CQFP-304,"37mm x 47mm",,2.8M,0.6u,"CMOS-6L Cu",121mm^2,,,,,,,,,,,,,,,,"Desktop computers",,,,,ic-photo-IBM--PPCA601FF-066-1--(PowerPC-CPU).png,,,,,,,datasheet-IBM-PowerPC-601-User-Manual.pdf,,,,,,
,,,1,X,IBM,PPCDBK-EFB486X3,45L8926ESD,IBM9314PQ,,,CPU,PowerPC,PowerPC750,PowerPC750CXe,,"PowerPC 750CXe",,,,,RISC,Power,,IBM,No,1,,,32,,,486MHz,162MHz,,,integrated,none,,32k/32k,,32k,32k,256k,none,NA,NA,NA,,,PBGA-256,,NA,,0.18u,CMOS,43mm^2,1.8V,,,,,,,,4.9W,,,,2000,2000,,,,,,,ic-photo-IBM--PPCDBK-EFB486X3--(Gamecube-CPU).jpg,,,,,,,,,,,,,
,,LM,1,X,IBM,XPPC604eBC180bE,,,,,CPU,PowerPC,PowerPC604e,,,"PowerPC 604e",,,,,RISC,Power,,,No,1,,,32,64,32,180MHz,,,,integrated,none,,,,,,,none,NA,NA,NA,,,?CBGA-255,,,5.1M,0.25u,CMOS,,2.5V,,,,,,,,,,,,1997,1997,,"Desktop computers",,,,"4-bit RISC processor with secindary cache",,,,,,,,datasheet-MIPS-R4400.pdf,,,,,,
,,,1,X,IBM,X02046-003,,,,,CPU,"X-Box 360",PowerPC,,,Xenon,,"PowerPC + VMX128",,,,PowerPC,,IBM,No,3,,,64,,,3.2GHz,,,,,,,32k/32k,,32k,32k,1M,none,64k,SRAM,NA,512M,GDDR3,OBGA,,NA,165M,90n,CMOS,,,,,,,,,,,,,,,,,"Video game systems",,,0,,,,,,,,,,,,,,,
,,,1,x,IBM,X812480-008,"XCPU C-A01",,,,CPU,"X-Box 360",PowerPC,,,Xenon,,"PowerPC + VMX128",,,,PowerPC,,IBM,No,3,,,64,,,3.2GHz,,,,,,,32k/32k,,32k,32k,1M,none,64k,SRAM,NA,512M,GDDR3,OBGA,,NA,165M,65n,CMOS,,,,,,,,,,,,,,,,,"Video game systems",,,0,,,,,,,,,,,,,,,
NEW,,OX,1,x,IDT,IDT49C402BJ,49C402BJ,,,,BSP,Am2900,IDT49C402,,,,,,,,,,,,"Functions as four 2901 and one 2902","4 bitslice",,,16,16,6,42Mhz,,,,none,none,none,none,none,none,none,none,none,none,none,,,,PLCC-68,,PLCC-68,,,CMOS,,5V,"5 +/- 5%",5V,5V,,,,,1.5W,,,Commercial,,,,,"functionally equivilent to 4x 2901 and 1x 2902",,,,,,,,,,,datasheet-IDT-49C402.pdf,,,,,,
NEW,,,1,x,IDT,IDT79R4650-100MS,79R4650-100MS,,,,CPU,R4000,Orion,,,,,MIPS-III,,,,MIPS,,,,1,5,,64,,64,100Mhz,,,,integrated,none,none,,,8k,8k,,,NA,NA,NA,,,MQUAD-208,,NA,,,,,5V,"5 +/- 5%",,5V,,,0.75W,4W,5W,,"standby mode",Commercial,,,,"Embedded systems",,,,,,,,,,,,datasheet-IDT-79R4650-79RV4650.pdf,,,,,,
,,JI,1,X,IDT,79R4400SC-60GS,,,,,CPU,R4400,MIPS,,,R4400,,,,,RISC,MIPS,,,,1,,,64,64,64,"120MHz (internal)",,,,integrated,none,,16k/16k,,16k,16k,ext,none,NA,NA,NA,64G,,CPGA-447,,,2.3M,,,,5V,,,,,,,,,,,,1994,1994,,"Servers, workstations","128-bit L2 cache bus interface, System control processor, MMU",,,,,,,,,,,,,,,,,
,,,1,X,IDT,C6-PSME200GA,,,,,CPU,6x86,WinChip,,,WinChip-C6,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,IDT,,1,,,32,64,32,200MHz,66MHz,,,integrated,none,,32k/32k,,32k,32k,,none,NA,NA,NA,4G,,CPGA-296,,"Socket 5,7",5.4M,0.35u,"CMOS 4L",88mm^2,3.3V,,,,,,,,,,,,1997,1997,,"Desktop computers",,,,"Designed by Centaur Technologies and manufactured by Integrated Device Technologies",ic-photo-IDT--C6-PSME200GA--(WinChip-CPU).png,,,,,,,,,,,,,
,,,1,x,Ingenic,JZ4740,,,,,SoC,MIPS32,XBurst,XBurst1,Jz47xx,MIPS32,,"MIPS32 REV1 + SIMD",,,,MIPS32,,,,1,,,32,8/16/32,,360MHz,,,,NA,none,,16k/16k,,16k,16k,none,none,,,,,SDRAM,BGA-193,"13mm x 13mm",NA,,0.16U,CMOS,,1.8V,,1.8V,3.3v,,,,,,,,,2007,2007,,"Embedded systems","I2C, SPI, USB, SD/MCC/SDIO, ADC, LCD, Camera, Audio codex, Timer, WDT, INTC, DMA, PWM, CLK generator, RTC, GPIO",,,,,,,,,,,datasheet-Ingenic-Jz4740.pdf,,,,,,
,,,1,x,Inmos,IMST414B-G15S,,,,,CPU,Transputer,"Transputer T400",,,T414,,,,,,,,Inmos,No,1,,,32,32,32,15MHz,,,,none,none,,none,none,none,none,none,none,NA,NA,2k,4G,,CPGA-84,,PGA,,,CMOS,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,databook-Inmos-Transputer-Second_Edition-1989.pdf,,,,,,
,,,1,x,Inmos,IMST800D-G20S,,,,,CPU,Transputer,"Transputer T800",,,T800,,,,,,,,Inmos,No,1,,,32,32,32,20MHz,,,,integrated,none,none,none,none,none,none,none,none,NA,NA,4k,4G,,CPGA-84,,PGA,,,CMOS,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,databook-Inmos-Transputer-Second_Edition-1989.pdf,,,,,,
,,JE,1,X,Intel,A80186,,,,,CPU,186,,,,80186,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,16,20,8MHz,8MHz,,1,Ext,none,,none,none,none,none,none,none,NA,NA,NA,1M,,CPGA-68,,PGA68,56k,1.5u,NMOS,,5V,"± 10%",5V,5V,,,,,3.03W,,,"0°C - 70°C",1982,1982,,"Desktop computers, embedded systems","CLK generator, Two independent high-speed DMA channels, Programmable INTC, Three programmable 16-bit timers, Programmable WSG,  Local bus controller,  Programmable memory and peripheral chip-select logic ",,,.,ic-photo-Intel--A80186--(186-CPU)-.JPG,,,,,,,datasheet-Intel-80186-80188.pdf,,,,,,
,,,7,6,Intel,A80186-10,,,,,CPU,186,,,,80186,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,16,20,10MHz,10MHz,,1,Ext,none,,none,none,none,none,none,none,NA,NA,NA,,,CPGA-68,,PGA68,,,NMOS,,5V,"± 10%",5V,5V,,,,,3.03W,,,"0°C - 70°C",1982,1982,,"Desktop computers","CLK generator, Two independent high-speed DMA channels, Programmable INTC, Three programmable 16-bit timers, Programmable WSG,  Local bus controller,  Programmable memory and peripheral chip-select logic ",,,,,,,,,,,,,,,,,
,,FB,1,X,Intel,C80186-3,,,,,CPU,186,,,,80186,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,16,20,8MHz,8MHz,,1,Ext,none,,none,none,none,none,none,none,NA,NA,NA,1M,,CLCC-68,"24mm x 24mm",CLCC68,55k,1.5u,NMOS,,5V,,,5V,,,,,,,,,1982,1982,,,,,,.,ic-photo-Intel--C80186-3-(CLCC)-(186-CPU).png,,,,,,,datasheet-Intel-80186-80188.pdf,,,,,,
,,AA,1,X,Intel,N80186,,,,,CPU,186,,,,80186,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,16,20,8MHz,8MHz,,1,Ext,none,,none,none,none,none,none,none,NA,NA,NA,1M,,PLCC-68,"25mm x 25mm",PLCC,56k,"2u ?",NMOS,,5V,"± 10%",5V,5V,,,,,3.03W,,,"0°C - 70°C",1982,1982,,,"CLK generator, DMA, INTC, timer, WSG, local bus, Programmable memory and peripheral CS logic",,,.,ic-photo-Intel--N80186--(186-CPU).png,,,,,,,datasheet-Intel-80186-80188.pdf,,,,,,
,,AR,1,X,Intel,N80C186EA20,,,,,CPU,186,EA,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,16,20,20MHz,20MHz,,1,"ext (80C187)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,PLCC-68,"25mm x 25mm",PLCC,134k,,CHMOS,,5V,,,5V,,,,,,,,,,,,,"CLK, DMA, DRAM refresh, WSG",,,.,ic-photo-Intel--N80C186EA20--(186-CPU).png,,,,,,,datasheet-INTEL-80C186EA_80C188EA_AND-80L186EA-80L188EA.pdf,,,,,,
,,"EV, EX, EW, EZ",4,3,Intel,R80186,,,,,CPU,186,,,,80186,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,16,20,10MHz,10MHz,,1,Ext,none,,none,none,none,none,none,none,NA,NA,NA,1M,,CLCC-68,"24mm x 24mm",,56k,1.5u,NMOS,,5V,,,5V,,,,,3.03W,,,,1982,1982,,,,,,.,ic-photo-Intel--R80186-(186-CPU).png,,,,,,,datasheet-Intel-80186-80188.pdf,,,,,,
NEW,,OP,1,x,Intel,S80C186EA20,C186EA20,,,,CPU,186,EA,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,16,20,20MHz,20MHz,,1,"ext (80C187)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,SQFP-80,,,134k,,CHMOS,,5V,,,5V,,,,,,,"Power save, idle, powerdown",,,,,,"CLK, DMA, DRAM refresh, WSG",,,.,,,,,,die-Intel-80C186EA.jpg,"©INTEL CORPORATION, 1995",datasheet-INTEL-80C186EA_80C188EA_AND-80L186EA-80L188EA.pdf,,,,,,
,,AZ,1,X,Intel,KU80C188EC20,,,,,CPU,188,EC,,,80C186EC,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,8,20,20MHz,20MHz,,1,,none,,none,none,none,none,none,none,NA,NA,NA,1M,,BQFP-100,,NA,,,CHMOS,,5V,,,5V,,,,,,,,,,,,"Embedded systems",,,,.,ic-photo-Intel--KU80C188EC20--(188-CPU).png,,,,,,,datasheet-Intel-80C186EC-80C188EC-80L186EC-80L188EC.pdf,,,,,,
,,K1,1,X,Intel,N80188,,,,,CPU,188,,,,80188,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,8,20,8MHz,8MHz,,1,,none,,none,none,none,none,none,none,NA,NA,NA,1M,,PLCC-68,"25mm x 25mm",PLCC,,,NMOS,,5V,"± 10%",5V,5V,,,,,3.03W,,,"0°C - 70°C",1982,1982,,"Embedded systems","CLK generator, DMA, INTC, timer, WSG, local bus, Programmable memory and peripheral CS logic",,,,ic-photo-Intel--N80188-(188-CPU).png,,,,,,,datasheet-Intel-80186-80188.pdf,,,,,,
,,AE,2,1,Intel,N80C188-16,,,,,CPU,188,,,,80C188,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,8,20,16MHz,16MHz,,1,,none,,none,none,none,none,none,none,NA,NA,NA,1M,,PLCC-68,"25mm x 25mm",PLCC,,,CHMOS,,5V,,,5V,,,,,0.79W,,,,1987,1987,,"Embedded systems","CLK generator, DMA, INTC, timer, WSG, local bus, Programmable memory and peripheral CS logic",,,.,ic-photo-Intel--N80C188-16--(188-CPU).png,,,,,,,datasheet-Intel-80C188.pdf,,,,,,
,,FA,1,X,Intel,R80188,,,,,CPU,188,,,,80188,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,16,8,20,10MHz,10MHz,,1,,none,,none,none,none,none,,none,NA,NA,NA,1M,,CLCC-68,"24mm x 24mm",CLCC68,,,NMOS,,5V,"± 10%",5V,5V,,,,,3.03W,,,"0°C - 70°C",1982,1982,,"Embedded systems","CLK generator, DMA, INTC, timer, WSG, local bus, Programmable memory and peripheral CS logic",,,.,ic-photo-Intel--R80188-(188-CPU).png,,,,,,,datasheet-Intel-80186-80188.pdf,,,,,,
